OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
2662106,04092018852,Bombay Curry,13220 STRICKLAND RD,Suite 167,RALEIGH,NC,52132-7613,(919) 615-3040,2022/04/08 04:00:00+00,Restaurant,2,-78.72593809,35.90878313,M
2662107,04092025358,Oak City Pizza,2906 Hillsborough  ST ,,RALEIGH,NC,27607,(919) 322-2544,2021/04/28 04:00:00+00,Food Stand,12,-78.67526404,35.78962141,M
2662108,04092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 586-7343,2017/03/03 05:00:00+00,Restaurant,18,-78.84948074,35.66266499,M
2662109,04092018593,Wendy's,1809 N HARRISON AVE ,,CARY,NC,27513,(919) 677-0039,2021/03/24 04:00:00+00,Restaurant,25,-78.76795619,35.83059406,M
2662110,04092016286,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 832-6522,2012/11/01 04:00:00+00,Restaurant,29,-78.67445032,35.78959693,M
2662111,04092017190,THE FALCON'S NEST AT ST. AUGUSTINE,1315 OAKWOOD AVE ,,RALEIGH,NC,27601,(919) 821-7646,2016/03/28 04:00:00+00,Restaurant,32,-78.61949307,35.78808582,M
2662112,04092017849,The Melting Pot,3100 Wake Forest RD ,,RALEIGH,NC,27609-7846,(919) 878-0477,2018/05/14 04:00:00+00,Restaurant,35,-78.62038753,35.82333592,M
2662193,04092030440,Taco Veloz  (WCID #736),1312 N ARENDELL AVE,,ZEBULON,NC,27597-8732,(914) 497-2580,2019/08/26 04:00:00+00,Mobile Food Units,41,-78.32392727,35.83867806,M
2662194,04092021952,COSTCO WHOLESALE #1206 MEAT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Food Stand,43,-78.82726689,35.7464159,M
2662195,04092016152,CLARK DINING HALL,221 JENSEN  DR ,,RALEIGH,NC,27695,(919) 513-4680,2012/02/09 05:00:00+00,Restaurant,54,-78.67872571,35.78448231,M
2662196,04092017192,STARBUCKS #19453,185 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 557-3246,2016/04/05 04:00:00+00,Restaurant,76,-78.84948074,35.66266499,M
2662197,04092021604,The Butchers Market,1225 KILDAIRE FARM RD,,CARY,NC,27511,(919) 465-3082,2010/01/20 05:00:00+00,Food Stand,82,-78.78213078,35.7627377,M
2662198,04092018422,Moe's Southwest Grill #283,10760 WAKEFIELD COMMONS DR,,RALEIGH,NC,27614,(919) 570-3222,2020/08/19 04:00:00+00,Restaurant,92,-78.5408878,35.94279833,M
2662199,04092018889,Brunchology 101,1636 GRADUATION WAY,,RALEIGH,NC,27603,,2022/06/09 04:00:00+00,Restaurant,106,-78.703875,35.65085574,M
2662200,04092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,,WAKE FOREST,NC,27587,(919) 648-4221,2013/05/31 04:00:00+00,Restaurant,107,-78.54504471,35.96485726,M
2662201,04092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,SUITE 103,RALEIGH,NC,27616,(919) 803-6920,2016/09/27 04:00:00+00,Restaurant,115,-78.537511,35.87630713,M
2662202,04092018622,Northside Bistro & Cocktails ,832 SPRING FOREST RD ,,RALEIGH,NC,27609,(919) 890-5225,2021/05/13 04:00:00+00,Restaurant,122,-78.62263526,35.8662752,M
2662203,04092016155,DAILY PLANET CAFE,11   W JONES ST ,STE 1509,RALEIGH,NC,27601,(919) 707-8060,2012/04/12 04:00:00+00,Restaurant,129,-78.63943083,35.78220511,M
2662204,04092016161,HIBACHI 88,3416 POOLE RD ,,RALEIGH,NC,27610,(919) 231-1688,2012/04/18 04:00:00+00,Restaurant,131,-78.57953261,35.76724571,M
2662205,04092015321,SUBWAY #12460,706 W PEACE ST ,,RALEIGH,NC,27605,(919) 834-0605,2009/01/12 05:00:00+00,Restaurant,133,-78.64931864,35.78886208,M
2662206,04092017539,HAMPTON INN RALEIGH/CARY BREAKFAST,201 ASHVILLE AVE ,,CARY,NC,27518,(919) 859-5559,2017/02/28 05:00:00+00,Restaurant,135,-78.78426862,35.73925014,M
2662207,04092017538,PIZZERIA FAULISI,215 E CHATHAM ST ,SUITE 101,CARY,NC,27511,(919) 377-8244,2017/02/21 05:00:00+00,Restaurant,136,-78.77734174,35.78786553,M
2662208,04092025437,Soulful Bites Food @ Hubb Kitchen,1129 CORPORATION PKWY,Suite199,RALEIGH,NC,27610-1382,(919) 672-1901,2022/05/10 04:00:00+00,Food Stand,138,-78.56954783,35.79505367,M
2662209,04092017187,THE 19TH HOLE,1527 TRYON RD ,,RALEIGH,NC,27603,(919) 772-9987,2016/04/01 04:00:00+00,Restaurant,139,-78.66755526,35.73521897,M
2662210,04092030485,Dubz Grub (WCID #775),2201 S WILMINGTON ST,,RALEIGH,NC,27603-2559,(919) 539-6022,2020/07/06 04:00:00+00,Mobile Food Units,180,-78.63902655,35.752054,M
2662211,04092017179,DUCK DONUTS,8323 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 847-8300,2016/03/08 05:00:00+00,Restaurant,185,-78.68223183,35.90105252,M
2662212,04092018798,Craften Knigtdale Primary Kitchen,706 MONEY CT ,Suite 101,KNIGHTDALE,NC,27545,(919) 710-2492,2022/02/06 05:00:00+00,Restaurant,188,-78.47298386,35.79889193,M
2662213,04092018378,Pleasant Grove Church,1528 Davis DR ,,CARY,NC,27519,(919) 363-5198,2020/05/29 04:00:00+00,Restaurant,204,-78.84348956,35.76990031,M
2662214,04092016489,SONIC DRIVE IN #6020,1925 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 554-1209,2013/08/20 04:00:00+00,Restaurant,216,-78.52999701,35.94975468,M
2662215,04092021953,COSTCO WHOLESALE #1206 ROTISSERIE/DELI,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Food Stand,218,-78.82726689,35.7464159,M
2662216,04092018352,Prime Barbeque,403 KNIGHTDALE STATION RUN,,KNIGHTDALE,NC,27545,(919) 373-8076,2020/04/22 04:00:00+00,Restaurant,220,-78.47356613,35.79722482,M
2662217,04092018645,Five Guys #1710,1121 Parkside Main ST ,,CARY,NC,27519,(919) 380-0450,2021/06/07 04:00:00+00,Restaurant,245,-78.88929435,35.84836238,M
2662218,04092018247,PIZZA HUT #2020,11010 LAKE GROVE  BLVD ,,MORRISVILLE,NC,27650,(919) 234-0652,2019/12/03 05:00:00+00,Restaurant,288,-78.84707532,35.82315923,M
2662219,04092025440,Crepe Time Catering @ TKA,2161 S WILMINGTON ST ,,RALEIGH,NC,27603,(919) 377-9447,2022/06/15 04:00:00+00,Food Stand,291,-78.63902655,35.752054,M
2662220,04092025393,Little Caesars #39,203 Timber  DR ,,GARNER,NC,27529,(919) 772-7775,2021/09/24 04:00:00+00,Food Stand,292,-78.60613102,35.68500723,M
2662221,04092018228,Hady International Food,717-199 E MARTIN ST ,,RALEIGH,NC,27610,(919) 741-1111,2019/11/13 05:00:00+00,Restaurant,26,-78.62699406,35.77656647,M
2662222,04092022030,AUNTIE ANNE'S NC #111,5959 TRIANGLE TOWN BLVD ,STE EU-2133,RALEIGH,NC,27616,(919) 792-2548,2017/08/30 04:00:00+00,Food Stand,293,-78.57603863,35.86599856,M
2662223,04092018828,Anise Pho,222 GLENWOOD AVE ,Suite 113,RALEIGH,NC,27603,(714) 815-2980,2022/03/17 04:00:00+00,Restaurant,317,-78.6469718,35.78363286,M
2662224,04092018835,Brookside Bodega,1000 BROOKSIDE DR ,Suite 119,RALEIGH,NC,27604,(919) 977-9004,2022/03/22 04:00:00+00,Restaurant,320,-78.62465098,35.79244363,M
2662225,04092021928,CIRCLE K #2723302,1414  E WILLIAMS ST ,,APEX,NC,27539,(919) 362-5131,2016/02/25 05:00:00+00,Food Stand,331,-78.83931692,35.71149361,M
2662226,04092040381,Wicked Links #4 (WCID #728),1101 BEAVER CREEK COMMONS DR,,APEX,NC,27502-3920,(919) 855-8548,2020/02/25 05:00:00+00,Pushcarts,336,-78.87546876,35.74471637,M
2662227,04092018638,Hibachi Japan,11216 CAPITAL BLVD ,STE 105,WAKE FOREST,NC,27587,(919) 556-8882,2021/06/01 04:00:00+00,Restaurant,342,-78.53734624,35.9524773,M
2662228,04092022008,KINGS WOK,8320 Litchford  RD ,SUITE 160,RALEIGH,NC,27615,(919) 878-5252,2017/03/09 05:00:00+00,Food Stand,343,-78.59988229,35.89223772,M
